212 134 18
31 58 97
184 208 32
14 22 245
21 253 176
237 54 185
114 12 53
223 25 229
188 132 216
156 159 22
75 237 249
138 29 67
74 92 77
102 238 120
68 21 207
114 252 82
113 159 3
118 34 229
235 205 65
180 160 201
36 221 206
250 142 102
133 59 126
253 52 3
42 123 160
88 39 30
205 81 154
194 163 216
86 77 151
101 107 168
72 146 17
160 152 225
28 104 94
157 16 230
174 200 150
114 162 92
206 7 243
161 47 174
84 112 24
196 155 119
2 91 19
166 152 39
255 112 199
184 41 216
127 181 249
111 194 142
140 45 148
12 244 55
215 66 39
110 7 55
