31366 37756 73682
14651 16269 19669
39344 40672 80800
17573 24151 12353
42284 35569 54108
32775 49421 68589
12009 19721 29721
30821 49338 61045
40824 51420 71912
30948 32815 65274
48057 47442 65289
16465 25142 38643
20497 22401 35345
42608 39950 69024
18849 27654 23903
42942 39226 73530
27027 25782 54899
24989 36747 38305
44225 49690 92785
42857 51125 74781
41080 37737 52458
39638 50252 85702
23158 31657 44122
23213 35825 68119
26898 27625 35244
12276 16407 28066
32190 44671 65374
45002 54377 78884
23677 29138 36983
29296 34603 46220
23533 20883 43341
41929 50077 69205
19894 18902 27190
25424 40468 44134
44434 48874 79518
32532 33686 57540
28301 47108 54155
26278 38413 49466
20576 20576 40152
38629 45816 75871
12317 8328 17243
31723 35023 66691
41837 56997 83499
29458 44455 54604
44657 50018 67273
39088 39830 63654
23166 33415 43688
33695 23511 47859
24465 35091 62579
11249 19032 27935
