33 43 9 3 23 49 51 21
28 25 31 8 36 29 32 12
61 58 37 15 55 66 72 26
40 36 15 2 38 51 64 26
33 36 26 15 31 40 51 33
29 38 27 8 40 44 35 14
20 40 18 6 25 46 38 24
28 33 33 8 33 42 43 23
26 34 20 1 35 36 33 8
54 57 36 13 58 71 74 33
22 42 21 0 30 53 46 24
50 50 28 9 55 60 65 24
43 56 38 15 53 62 57 29
43 42 20 2 46 56 62 21
36 44 8 3 27 49 46 13
41 47 18 8 31 58 58 25
51 54 22 4 52 66 68 21
42 49 15 0 35 56 57 15
50 43 21 4 38 47 58 12
44 47 39 14 48 60 57 27
12 35 20 4 23 43 33 25
32 46 16 8 36 52 48 24
62 78 41 14 71 79 76 28
60 56 30 8 54 57 65 13
15 42 14 1 27 57 44 30
35 40 23 0 39 55 58 23
47 62 31 15 45 71 67 35
44 45 33 14 48 52 59 29
12 23 24 3 27 25 16 7
23 44 26 8 37 53 41 26
48 71 33 11 51 85 77 40
54 53 30 11 48 65 76 33
31 32 34 5 44 40 39 13
36 45 16 10 37 53 49 23
29 44 36 9 44 54 51 31
38 40 21 15 36 52 52 29
24 26 12 11 17 32 31 18
41 32 16 5 35 32 41 5
37 37 18 1 29 45 54 18
43 44 18 1 40 48 61 19
41 53 20 8 35 54 54 21
27 21 20 3 30 23 34 10
33 34 24 1 35 40 47 15
49 55 20 14 50 59 61 26
29 35 5 0 23 37 38 9
35 54 32 14 45 69 59 38
34 45 30 6 41 52 46 18
49 67 27 5 48 68 62 18
43 46 21 5 44 57 67 29
36 47 24 5 37 60 53 22
